YEAR,MO,DY,HR,pyrano,anemo,wind,PS,humidity,suhu
2023,12,16,0,0,1.52,203.39,99.21,17.33,25.03
2023,12,16,1,0,1.47,201.52,99.16,17.33,24.78
2023,12,16,2,0,1.41,198.03,99.13,17.33,24.57
2023,12,16,3,0,1.39,193.02,99.13,17.27,24.4
2023,12,16,4,0,1.33,190.45,99.15,17.21,24.25
2023,12,16,5,0,1.29,189.06,99.2,17.15,24.09
2023,12,16,6,44.1,1.4,188.04,99.25,17.27,24.79
2023,12,16,7,139.45,1.58,185.96,99.33,17.09,26.46
2023,12,16,8,255,1.56,188.33,99.36,16.85,28.11
2023,12,16,9,304.83,1.62,192.23,99.35,16.66,29.65
2023,12,16,10,400.12,1.76,195.7,99.31,16.54,30.88
2023,12,16,11,428.65,1.92,197.48,99.24,16.42,31.71
2023,12,16,12,424.2,2.12,198.43,99.17,16.36,32.19
2023,12,16,13,364.33,2.32,198.43,99.09,16.3,32.31
2023,12,16,14,316.23,2.48,197.41,99.03,16.24,32.06
2023,12,16,15,224.55,2.55,196.21,99,16.3,31.26
2023,12,16,16,118.05,2.52,196.41,99.04,16.48,30.09
2023,12,16,17,27.83,2.35,199.04,99.12,16.72,28.7
2023,12,16,18,0,2.04,203.43,99.21,16.97,27.34
2023,12,16,19,0,1.91,207.3,99.29,17.15,26.52
2023,12,16,20,0,1.81,208,99.35,17.27,25.98
2023,12,16,21,0,1.73,206.57,99.36,17.4,25.58
2023,12,16,22,0,1.69,204.07,99.33,17.4,25.26
2023,12,16,23,0,1.64,201.55,99.3,17.4,24.98
2023,12,17,0,0,1.53,202.78,99.25,17.33,24.72
2023,12,17,1,0,1.43,206.99,99.23,17.27,24.54
2023,12,17,2,0,1.38,207.58,99.22,17.15,24.4
2023,12,17,3,0,1.37,203.93,99.22,17.03,24.24
2023,12,17,4,0,1.34,198.65,99.24,16.91,24.01
2023,12,17,5,0,1.29,195.13,99.28,16.85,23.81
2023,12,17,6,39.4,1.38,194.43,99.34,16.85,24.4
2023,12,17,7,144.35,1.39,195.99,99.4,16.66,25.89
2023,12,17,8,244.75,1.27,201.21,99.41,16.54,27.6
2023,12,17,9,283.55,1.2,204.72,99.37,16.48,29.26
2023,12,17,10,367.67,1.32,206.41,99.3,16.36,30.72
2023,12,17,11,389.5,1.6,205.81,99.22,16.24,31.93
2023,12,17,12,353.92,1.92,203.01,99.14,16.05,32.65
2023,12,17,13,373.38,2.28,199.24,99.06,15.99,32.8
2023,12,17,14,307.98,2.57,197.33,99.01,15.99,32.44
2023,12,17,15,217.08,2.72,196.87,99.02,16.05,31.63
2023,12,17,16,114.73,2.67,198.43,99.07,16.36,30.31
2023,12,17,17,22.62,2.46,202.41,99.15,16.66,28.8
2023,12,17,18,0,2.13,207.5,99.24,16.91,27.44
2023,12,17,19,0,1.93,212.08,99.33,17.09,26.59
2023,12,17,20,0,1.72,214.48,99.38,17.27,26.04
2023,12,17,21,0,1.59,215.18,99.39,17.4,25.63
2023,12,17,22,0,1.47,212.17,99.36,17.46,25.33
2023,12,17,23,0,1.37,207.44,99.32,17.46,25.07
2023,12,18,0,0,1.3,203.02,99.28,17.46,24.87
2023,12,18,1,0,1.24,198.32,99.23,17.46,24.71
2023,12,18,2,0,1.18,192.2,99.21,17.52,24.57
2023,12,18,3,0,1.13,185.55,99.19,17.52,24.44
2023,12,18,4,0,1.12,180,99.21,17.52,24.33
2023,12,18,5,0,1.12,175.6,99.25,17.52,24.24
2023,12,18,6,53.2,1.29,174.08,99.32,17.58,24.77
2023,12,18,7,156.05,1.42,174.95,99.38,17.4,26.1
2023,12,18,8,267.02,1.41,179.37,99.41,17.27,27.59
2023,12,18,9,338.45,1.47,185.19,99.4,17.15,29.08
2023,12,18,10,406.98,1.58,191.98,99.34,16.91,30.55
2023,12,18,11,433.62,1.79,196.46,99.26,16.54,31.72
2023,12,18,12,425.1,2.04,197.12,99.19,16.3,32.31
2023,12,18,13,397.6,2.25,195.92,99.13,16.17,32.61
2023,12,18,14,306.85,2.42,195.16,99.07,15.99,32.4
2023,12,18,15,211.9,2.51,195.16,99.06,16.05,31.71
2023,12,18,16,121.6,2.48,196.84,99.1,16.3,30.58
2023,12,18,17,26.27,2.32,199.9,99.18,16.6,29.17
2023,12,18,18,0,1.98,204.24,99.25,16.97,27.7
2023,12,18,19,0,1.86,208.28,99.33,17.21,26.77
2023,12,18,20,0,1.8,210.45,99.4,17.33,26.13
2023,12,18,21,0,1.73,210.74,99.42,17.4,25.64
2023,12,18,22,0,1.61,208.43,99.4,17.46,25.25
2023,12,18,23,0,1.51,204.05,99.36,17.46,24.94
2023,12,19,0,0,1.44,200.7,99.31,17.4,24.72
2023,12,19,1,0,1.33,195.99,99.26,17.4,24.55
2023,12,19,2,0,1.26,193.26,99.24,17.4,24.46
2023,12,19,3,0,1.22,190.3,99.27,17.4,24.34
2023,12,19,4,0,1.18,187.97,99.31,17.4,24.21
2023,12,19,5,0,1.15,185.87,99.37,17.4,24.05
2023,12,19,6,37.1,1.28,183.84,99.43,17.46,24.62
2023,12,19,7,119.08,1.46,181.23,99.49,17.33,25.99
2023,12,19,8,213.8,1.47,181.22,99.51,16.97,27.91
2023,12,19,9,294.62,1.53,183.5,99.49,16.91,29.53
2023,12,19,10,355.55,1.68,186.93,99.42,16.78,30.81
2023,12,19,11,398.98,1.93,189.81,99.34,16.66,31.76
2023,12,19,12,372.25,2.2,191.47,99.25,16.54,32.17
2023,12,19,13,341.7,2.47,191.66,99.17,16.6,32
2023,12,19,14,289.15,2.63,192.55,99.11,16.85,31.13
2023,12,19,15,212.23,2.6,194.45,99.1,17.03,30.15
2023,12,19,16,110.15,2.47,196.54,99.14,17.21,29.12
2023,12,19,17,24.3,2.27,198.06,99.2,17.27,28.01
2023,12,19,18,0,1.93,199.82,99.3,17.46,27.01
2023,12,19,19,0,1.76,200.53,99.39,17.64,26.37
2023,12,19,20,0,1.62,199.13,99.47,17.76,25.94
2023,12,19,21,0,1.53,196.03,99.49,17.76,25.63
2023,12,19,22,0,1.47,191.97,99.48,17.7,25.41
2023,12,19,23,0,1.43,188.79,99.44,17.52,25.24
2023,12,20,0,0,1.37,188.55,99.39,17.4,25.06
2023,12,20,1,0,1.29,192.19,99.34,17.15,24.86
2023,12,20,2,0,1.33,192.57,99.29,16.97,24.63
2023,12,20,3,0,1.43,189.77,99.26,16.78,24.46
2023,12,20,4,0,1.44,188.09,99.27,16.66,24.31
2023,12,20,5,0,1.39,187.45,99.32,16.66,24.19
2023,12,20,6,37.6,1.52,187.67,99.38,16.66,24.64
2023,12,20,7,129.17,1.66,188.93,99.45,16.36,25.83
2023,12,20,8,236.15,1.65,193.44,99.48,16.3,27.32
2023,12,20,9,334.05,1.71,197.53,99.46,16.17,28.82
2023,12,20,10,339.52,1.84,199.36,99.39,16.11,29.94
2023,12,20,11,404.12,1.99,199.93,99.3,16.05,30.76
2023,12,20,12,407.77,2.14,200.29,99.21,15.99,31.13
2023,12,20,13,358.58,2.26,200.88,99.12,16.05,31.19
2023,12,20,14,319.1,2.35,201.27,99.06,16.05,30.9
2023,12,20,15,229.77,2.37,201.66,99.04,15.99,30.3
2023,12,20,16,129.73,2.33,202.52,99.07,15.99,29.43
2023,12,20,17,29.62,2.17,203.79,99.14,15.99,28.35
2023,12,20,18,0,1.82,206.01,99.2,16.3,27.18
2023,12,20,19,0,1.7,208.8,99.28,16.42,26.51
2023,12,20,20,0,1.6,210.2,99.34,16.54,26.05
2023,12,20,21,0,1.52,210.66,99.37,16.54,25.68
2023,12,20,22,0,1.44,208.51,99.37,16.48,25.33
2023,12,20,23,0,1.4,204.42,99.35,16.36,24.99
2023,12,21,0,0,1.37,200.29,99.31,16.24,24.74
2023,12,21,1,0,1.35,196.76,99.25,16.17,24.5
2023,12,21,2,0,1.34,193.14,99.2,16.17,24.26
2023,12,21,3,0,1.34,189.02,99.19,16.11,24.04
2023,12,21,4,0,1.34,186.38,99.22,16.11,23.83
2023,12,21,5,0,1.29,185.57,99.27,16.11,23.62
2023,12,21,6,35.2,1.36,185.28,99.33,16.3,24.34
2023,12,21,7,111.25,1.46,183.37,99.4,16.11,26.06
2023,12,21,8,195.7,1.37,185.55,99.44,15.87,27.8
2023,12,21,9,284.85,1.31,191.31,99.43,15.62,29.41
